Name,Sex.sightings,Date.Sighting,Season,Body.Temp.C,Location,Catch.date,Catch.Sex,SVL,Weight.g.,Lat,Long,ConspecificDensity,NumOverlap50,kdarea,density50
CocoPops,Male,26/05/2021,11,10.5,Spec,16/02/2021,Male,NA,NA,-27.4627,153.0193833,0.035950804,35,1057,0.033112583
Copepod,Female,22/09/2020,11,0,Arid,NA,NA,NA,NA,-27.46193333,153.0184333,0.013114754,4,305,0.013114754
Cotton,Male,8/09/2020,11,17.8,Lake,8/10/2020,Male,221,512,-27.46263333,153.0181333,0.026990553,21,741,0.028340081
Cotton,Male,8/09/2020,11,17.8,Lake,16/02/2021,Male,NA,NA,-27.46263333,153.0181333,0.026990553,21,741,0.028340081
Craggy,Female,13/10/2020,11,14,Rforest,8/10/2020,Female,187,293,-27.46211667,153.0172333,0.01453958,17,619,0.027463651
Crayola,Female,26/05/2021,11,15.1,Rforest,17/02/2021,Female,NA,NA,-27.46208333,153.0173333,0.018416206,13,543,0.023941068
Crumpets,Male,15/10/2020,11,39.7,Pground,1/10/2020,Male,236,656,-27.4624,153.0191833,0.017977528,22,445,0.049438202
Crumpets,Male,15/10/2020,11,39.7,Pground,16/02/2021,Male,NA,NA,-27.4624,153.0191833,0.017977528,22,445,0.049438202
Custard,Female,20/10/2020,11,17,Rforest,6/10/2020,Female,158,210,-27.46226667,153.01685,0.012886598,5,388,0.012886598
Custard,Female,20/10/2020,11,17,Rforest,16/02/2021,Female,NA,NA,-27.46226667,153.01685,0.012886598,5,388,0.012886598
Dan,Male,15/10/2020,11,46.9,Spec,28/09/2020,Male,259,712,-27.46273333,153.0191833,0.078431373,40,306,0.130718954
Dan,Male,8/09/2020,11,18,Spec,28/09/2020,Male,259,712,-27.46266667,153.01925,0.078431373,40,306,0.130718954
Darius,Male,26/05/2021,11,17.3,Spec,28/09/2020,Male,254,744,-27.46303333,153.0192833,0.023051592,27,911,0.029637761
Darius,Male,13/10/2020,11,17.6,Spec,28/09/2020,Male,254,744,-27.46308333,153.0195333,0.023051592,27,911,0.029637761
Darius,Male,26/05/2021,11,17.3,Spec,16/02/2021,Male,NA,NA,-27.46303333,153.0192833,0.023051592,27,911,0.029637761
